drug,probe,importance
A-366,202071_at,0.0491542
A-366,202458_at,0.043186817
A-366,212414_s_at,0.040536724
A-366,210427_x_at,0.029226819
A-366,200765_x_at,0.026766509
A-366,221505_at,0.026516892
A-366,200661_at,0.026099145
A-366,201433_s_at,0.024922322
ABT737,208808_s_at,0.073029965
ABT737,202133_at,0.06881468
ABT737,201798_s_at,0.064121656
ABT737,212294_at,0.042694
ABT737,201471_s_at,0.04071178
ABT737,213503_x_at,0.036213584
ABT737,201944_at,0.035655826
ABT737,210427_x_at,0.032662217
ABT737,201590_x_at,0.02705828
ABT737,210844_x_at,0.025386263
AGI-5198,213503_x_at,0.06164953
AGI-5198,210427_x_at,0.03913152
AGI-5198,203510_at,0.033076014
AGI-5198,212414_s_at,0.032032967
AGI-5198,200765_x_at,0.030441228
AGI-5198,202071_at,0.02872955
AGI-5198,222154_s_at,0.02783671
AGI-5198,212294_at,0.027436696
AGI-5198,202458_at,0.026175432
AGI-5198,201305_x_at,0.024644472
AGI-6780,201798_s_at,0.109607115
AGI-6780,201306_s_at,0.044377968
AGI-6780,201217_x_at,0.044357754
AGI-6780,211509_s_at,0.03595831
AGI-6780,210844_x_at,0.03354372
AGI-6780,202071_at,0.031979438
AGI-6780,212391_x_at,0.028069107
AGI-6780,201761_at,0.026299117
AGI-6780,200923_at,0.024780737
AGI-6780,200016_x_at,0.022859136
AGK2,209135_at,0.064893164
AGK2,217997_at,0.047577903
AGK2,217996_at,0.03164676
AGK2,217728_at,0.031601768
AGK2,200840_at,0.02746237
AGK2,200866_s_at,0.026952384
AGK2,202458_at,0.025440508
AGK2,222154_s_at,0.024735274
AGK2,202858_at,0.024618646
AGK2,200631_s_at,0.024507912
AMG-319,201596_x_at,0.09055866
AMG-319,207738_s_at,0.08514334
AMG-319,212414_s_at,0.04740308
AMG-319,201590_x_at,0.034428198
AMG-319,210835_s_at,0.029053776
AMG-319,209212_s_at,0.027011052
AMG-319,208683_at,0.026980486
AMG-319,201721_s_at,0.02582337
AMG-319,217028_at,0.024177982
AMG-319,213503_x_at,0.02389783
