drug,feature,importance,type
630600,214214_s_at,0.029884959,expression
630600,213603_s_at,0.027881734,expression
630600,213503_x_at,0.025373707,expression
630600,201243_s_at,0.02445869,expression
630600,200005_at,0.024244027,expression
667880,201798_s_at,0.119899474,expression
667880,217728_at,0.054420397,expression
667880,222154_s_at,0.040134907,expression
667880,208949_s_at,0.034939915,expression
667880,201584_s_at,0.027105404,expression
667880,200923_at,0.026678458,expression
667880,200839_s_at,0.024954777,expression
667880,201944_at,0.024758771,expression
667880,201385_at,0.024235118,expression
667880,213503_x_at,0.022442158,expression
720427,212294_at,0.11428943,expression
720427,208683_at,0.083975814,expression
720427,203910_at,0.041883662,expression
720427,212039_x_at,0.03151997,expression
720427,222154_s_at,0.027837444,expression
720427,202686_s_at,0.02728947,expression
720427,208718_at,0.024412235,expression
720427,200765_x_at,0.02360784,expression
720427,210844_x_at,0.022995252,expression
720427,209135_at,0.022207921,expression
729189,208683_at,0.048064537,expression
729189,201798_s_at,0.04088672,expression
729189,200089_s_at,0.039655898,expression
729189,200765_x_at,0.03790122,expression
729189,212414_s_at,0.037387006,expression
729189,208718_at,0.036070403,expression
729189,213080_x_at,0.034943193,expression
729189,200763_s_at,0.03443915,expression
729189,201596_x_at,0.030575875,expression
729189,213801_x_at,0.029172117,expression
741909,217997_at,0.042336557,expression
741909,205479_s_at,0.042227622,expression
741909,200080_s_at,0.037564993,expression
741909,217996_at,0.0352764,expression
741909,201925_s_at,0.034907784,expression
741909,204602_at,0.032985177,expression
741909,211972_x_at,0.03108052,expression
741909,36711_at,0.027112158,expression
741909,217717_s_at,0.026444575,expression
741909,201669_s_at,0.025963908,expression
743380,201051_at,0.049669664,expression
743380,208764_s_at,0.04336095,expression
743380,204602_at,0.043152113,expression
743380,208856_x_at,0.038859993,expression
743380,212039_x_at,0.037892487,expression
743380,217997_at,0.030854067,expression
743380,207508_at,0.030394332,expression
743380,217996_at,0.02958078,expression
743380,208796_s_at,0.027893096,expression
743380,203107_x_at,0.027654387,expression
765771,201798_s_at,0.099131726,expression
765771,200765_x_at,0.044975407,expression
765771,200673_at,0.0381358,expression
765771,202157_s_at,0.037158743,expression
765771,201590_x_at,0.033274036,expression
765771,217918_at,0.031904846,expression
765771,214280_x_at,0.030826347,expression
765771,202071_at,0.029672367,expression
765771,210844_x_at,0.029449228,expression
765771,208816_x_at,0.029248545,expression
776928,203002_at,0.08994235,expression
776928,202458_at,0.08112064,expression
776928,208703_s_at,0.047429178,expression
776928,201596_x_at,0.036828145,expression
776928,215034_s_at,0.035910502,expression
776928,209008_x_at,0.029535878,expression
776928,208704_x_at,0.029503288,expression
776928,202071_at,0.028619058,expression
776928,201960_s_at,0.025618944,expression
776928,201302_at,0.024340108,expression
A-366,201798_s_at,0.1006236,expression
A-366,203002_at,0.054204628,expression
A-366,202071_at,0.0491542,expression
A-366,202458_at,0.043186817,expression
A-366,212414_s_at,0.040536724,expression
A-366,210427_x_at,0.029226819,expression
A-366,200765_x_at,0.026766509,expression
A-366,221505_at,0.026516892,expression
A-366,200661_at,0.026099145,expression
A-366,201433_s_at,0.024922322,expression
ABT737,208808_s_at,0.073029965,expression
ABT737,202133_at,0.06881468,expression
ABT737,201798_s_at,0.064121656,expression
ABT737,212294_at,0.042694,expression
ABT737,201471_s_at,0.04071178,expression
ABT737,213503_x_at,0.036213584,expression
ABT737,201944_at,0.035655826,expression
ABT737,210427_x_at,0.032662217,expression
ABT737,201590_x_at,0.02705828,expression
ABT737,210844_x_at,0.025386263,expression
AGI-5198,213503_x_at,0.06164953,expression
AGI-5198,210427_x_at,0.03913152,expression
AGI-5198,203510_at,0.033076014,expression
AGI-5198,212414_s_at,0.032032967,expression
AGI-5198,200765_x_at,0.030441228,expression
AGI-5198,202071_at,0.02872955,expression
AGI-5198,222154_s_at,0.02783671,expression
AGI-5198,212294_at,0.027436696,expression
AGI-5198,202458_at,0.026175432,expression
AGI-5198,201305_x_at,0.024644472,expression
AGI-6780,201798_s_at,0.109607115,expression
AGI-6780,201306_s_at,0.044377968,expression
AGI-6780,201217_x_at,0.044357754,expression
AGI-6780,211509_s_at,0.03595831,expression
AGI-6780,210844_x_at,0.03354372,expression
AGI-6780,202071_at,0.031979438,expression
AGI-6780,212391_x_at,0.028069107,expression
AGI-6780,201761_at,0.026299117,expression
AGI-6780,200923_at,0.024780737,expression
AGI-6780,200016_x_at,0.022859136,expression
AGK2,209135_at,0.064893164,expression
AGK2,217997_at,0.047577903,expression
AGK2,217996_at,0.03164676,expression
AGK2,217728_at,0.031601768,expression
AGK2,200840_at,0.02746237,expression
AGK2,200866_s_at,0.026952384,expression
AGK2,202458_at,0.025440508,expression
AGK2,222154_s_at,0.024735274,expression
AGK2,202858_at,0.024618646,expression
AGK2,200631_s_at,0.024507912,expression
AMG-319,201596_x_at,0.09055866,expression
AMG-319,207738_s_at,0.08514334,expression
AMG-319,212414_s_at,0.04740308,expression
AMG-319,201590_x_at,0.034428198,expression
AMG-319,210835_s_at,0.029053776,expression
AMG-319,209212_s_at,0.027011052,expression
AMG-319,208683_at,0.026980486,expression
AMG-319,201721_s_at,0.02582337,expression
AMG-319,217028_at,0.024177982,expression
AMG-319,213503_x_at,0.02389783,expression
